time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-29 06-14-00,70.80000305,64,67.7800026,171.4,61.82456207,71.59999847
2021-07-29 06-29-00,71.59999847,64,71.44000142,306.7333333,81.81052653,70.80000305
2021-07-29 06-44-00,70.80000305,64,67.76000214,307.2,41.95789515,70.30000305
2021-07-29 06-59-00,70.30000305,64,65.21333567,299,34.25263214,71.30000305
2021-07-29 07-14-00,71.30000305,64.6,69.02666779,233.1333333,45.87368368,72.09999847
2021-07-29 07-29-00,72.09999847,65.2,72.44000142,301.6,50.96842168,73.90000153
2021-07-29 07-44-00,73.90000153,66.46666667,77.42000122,253.8,48.27368444,74.09999847
2021-07-29 07-59-00,74.09999847,67.06666667,75.44000193,299.5333333,48.94736913,71.90000153
2021-07-29 08-14-00,71.90000153,68,70.08666789,304.2,37.1157903,71.40000153
2021-07-29 08-29-00,71.40000153,68.86666667,66.61333517,260.1333333,36.86315841,71.09999847
2021-07-29 08-44-00,71.09999847,69.66666667,66.09333343,290.2666667,36.18947449,71.09999847
2021-07-29 08-59-00,71.09999847,70.8,65.94666748,261.8666667,37.28421122,70.90000153
2021-07-29 09-14-00,70.90000153,71.86666667,65.87333476,289.1333333,37.32631505,71
2021-07-29 09-29-00,71,72,65.80000255,268,36.73684158,72
2021-07-29 09-44-00,72,72.8,69.86666768,269.1333333,56.75789413,73.40000153
2021-07-29 09-59-00,73.40000153,73.93333333,75.1866684,250.0666667,53.87368367,71.90000153
2021-07-29 10-14-00,71.90000153,74,69.16000112,331.6666667,41.57894694,71.59999847
2021-07-29 10-29-00,71.59999847,74.86666667,66.59333445,260.4,35.01052577,71.40000153
2021-07-29 10-44-00,71.40000153,75.6,66.15333506,283.0666667,36.10526276,71.30000305
2021-07-29 10-59-00,71.30000305,76.33333333,65.96000061,259.4666667,36.65263138,71.30000305
2021-07-29 11-14-00,71.30000305,77,65.96666717,259.3333333,38.67368393,71.40000153
2021-07-29 11-29-00,71.40000153,77.86666667,65.89333496,260.9333333,39.26315689,71.30000305
2021-07-29 11-44-00,71.30000305,79.06666667,65.88000183,261.6,39.26315689,71.30000305
2021-07-29 11-59-00,71.30000305,79.73333333,65.86000214,264.0666667,39.26315689,71.09999847
2021-07-29 12-14-00,71.09999847,80.53333333,65.8466685,263.3333333,39.26315689,71.09999847
2021-07-29 12-29-00,71.09999847,78,65.84000244,261.9333333,39.26315689,72.20000458
2021-07-29 12-44-00,72.20000458,77.2,70.08666789,118.2666667,78.90526352,73.40000153
2021-07-29 12-59-00,73.40000153,77.93333333,73.60666809,322.8,79.06666641,74.59999847
2021-07-29 13-14-00,74.59999847,80.06666667,76.94000041,148.6,85.81052627,73.70000458
2021-07-29 13-29-00,73.70000458,81.8,72.85333506,325,78.20350876,74.09999847
2021-07-29 13-44-00,74.09999847,82.93333333,74.61333567,143.6,86.23157934,73.30000305
2021-07-29 13-59-00,73.30000305,82.93333333,70.76000214,318.2666667,84.50526276,73.09999847
2021-07-29 14-14-00,73.09999847,82,70.76000112,249.3333333,80.44912313,72.5
2021-07-29 14-29-00,72.5,81.73333333,66.5866684,265.8666667,38.63158035,73.20000458
2021-07-29 14-44-00,73.20000458,80.06666667,70.73333537,124.0666667,77.59298274,73.59999847
2021-07-29 14-59-00,73.59999847,79.13333333,72.40666911,314.4,85.22105357,74.20000458
2021-07-29 15-14-00,74.20000458,79,74.22000122,141.4666667,90.44912262,73.5
2021-07-29 15-29-00,73.5,79.06666667,70.5866684,336,74.56140315,74.30000305
2021-07-29 15-44-00,74.30000305,79,74.3666687,139.2666667,89.71228078,74.09999847
2021-07-29 15-59-00,74.09999847,78.73333333,72.79333496,332.0666667,76.72280782,73.09999847
2021-07-29 16-14-00,73.09999847,78,69.09333547,322.5333333,45.62105255,72.70000458
2021-07-29 16-29-00,72.70000458,79,66.48666891,280.6,38.10526276,72.40000153
2021-07-29 16-44-00,72.40000153,79,66.16000163,277.6666667,38.10526276,72.09999847
2021-07-29 16-59-00,72.09999847,78.8,66.01333466,276,38.10526276,72.20000458
2021-07-29 17-14-00,72.20000458,77.93333333,65.97333374,286.6666667,37.81052577,73.09999847
2021-07-29 17-29-00,73.09999847,74.26666667,65.98666789,301,35.15789439,71.70000458
2021-07-29 17-44-00,71.70000458,69.06666667,65.77333578,274.6666667,34.31578827,71.30000305
2021-07-29 17-59-00,71.30000305,66.4,64.26000137,287.6666667,34.31578827,71.30000305
2021-07-29 18-14-00,71.30000305,65,66.93333486,259.6,45.1649119,73
2021-07-29 18-29-00,73,64.46666667,72.8066686,278.9333333,45.68421173,71.90000153
2021-07-29 18-44-00,71.90000153,64,69.08666789,283.2666667,45.68421173,71.59999847
2021-07-29 18-59-00,71.59999847,64,67.71333771,277.4666667,45.68421173,71.30000305
2021-07-29 19-14-00,71.30000305,64.73333333,67.2800003,299.5333333,43.9157903,70.80000305
2021-07-29 19-29-00,70.80000305,65,64.53333486,279.8666667,33.68421173,72.59999847
2021-07-29 19-44-00,72.59999847,64.26666667,70.86666768,227.6666667,47.83157934,73.20000458
2021-07-29 19-59-00,73.20000458,63.06666667,73.37333476,172.8666667,77.26315765,71.70000458
2021-07-29 20-14-00,71.70000458,62.2,69.43333486,289.3333333,87.05263138,72.30000305
2021-07-29 20-29-00,72.30000305,62,70.71333466,234.2,63.89473572,74.70000458
2021-07-29 20-44-00,74.70000458,62.6,88.69333394,207.8,95.99298197,73.90000153
2021-07-29 20-59-00,73.90000153,63.2,73.02000122,254.4666667,89.31929932,72.70000458
2021-07-29 21-14-00,72.70000458,64,70.66666921,300.0666667,86.21052602,73.59999847
2021-07-29 21-29-00,73.59999847,64,72.60666809,197.4,69.4947375,72.20000458
2021-07-29 21-44-00,72.20000458,63.46666667,69.26666717,314.4,88.2035085,71.90000153
2021-07-29 21-59-00,71.90000153,63.8,67.70000204,266.3333333,43.15789464,72
2021-07-29 22-14-00,72,64,67.95333456,265.1333333,51.28421097,72.20000458
2021-07-29 22-29-00,72.20000458,63.06666667,70.26666819,284.1333333,45.34736811,74.70000458
2021-07-29 22-44-00,74.70000458,63,92.09333497,226.9333333,59.9157898,74
2021-07-29 22-59-00,74,63,75.21333466,156.6666667,95.59298248,73.90000153
2021-07-29 23-14-00,73.90000153,63,71.86666717,318.3333333,65.24912262,73.59999847
2021-07-29 23-29-00,73.59999847,63,72.62666779,269.1333333,84.27368367,74.40000153
2021-07-29 23-44-00,74.40000153,63,74.55333506,239.5333333,75.11578878,73.80000305
2021-07-29 23-59-00,73.80000305,63,73.78000132,247.8666667,92.32280706,73.59999847
2021-07-30 00-14-00,73.59999847,63,72.76666921,244.1333333,57.89473699,73.09999847
2021-07-30 00-29-00,73.09999847,63,72.64666799,159.8666667,95.59298248,74
2021-07-30 00-44-00,74,62.66666667,72.27333527,311.1333333,55.52982407,73.70000458
2021-07-30 00-59-00,73.70000458,62,72.70666707,311.8666667,49.74736811,74.09999847
2021-07-30 01-14-00,74.09999847,62,74.87333578,250.8,48.3578949,74.5
2021-07-30 01-29-00,74.5,62,74.23333486,303.5333333,52.73684209,72.20000458
2021-07-30 01-44-00,72.20000458,62,69.15333506,296.7333333,35.81052755,71.30000305
2021-07-30 01-59-00,71.30000305,62,64.16666743,270.6,34.63158035,71.59999847
2021-07-30 02-14-00,71.59999847,62,67.5733345,237.8666667,45.11578954,72.5
2021-07-30 02-29-00,72.5,62,71.46666768,298.2666667,51.17894668,71.40000153
2021-07-30 02-44-00,71.40000153,62,67.92000224,293.8,42.96842117,70.90000153
2021-07-30 02-59-00,70.90000153,62,63.90000076,262.5333333,37.20000102,73.09999847
2021-07-30 03-14-00,73.09999847,62,73.38666865,265.6666667,54.91929779,73.80000305
2021-07-30 03-29-00,73.80000305,62,74.79333445,199.5333333,63.34736837,72.09999847
2021-07-30 03-44-00,72.09999847,62,70.49333547,280.1333333,87.101754,71.90000153
2021-07-30 03-59-00,71.90000153,62,67.69333547,236.3333333,54.58947372,74.30000305
2021-07-30 04-14-00,74.30000305,62,95.30000153,221.6,90.89122823,73.90000153
2021-07-30 04-29-00,73.90000153,62,74.00000102,278.2666667,51.81052602,73.80000305
2021-07-30 04-44-00,73.80000305,61.13333333,73.33333486,152.6666667,85.90175476,72.70000458
2021-07-30 04-59-00,72.70000458,61,69.50000203,346.9333333,60.41403503,73.70000458
2021-07-30 05-14-00,73.70000458,61,73.4066686,248.6,66.09122823,73.70000458
2021-07-30 05-29-00,73.70000458,61,73.29333547,314.4666667,44.47719294,74.30000305
2021-07-30 05-44-00,74.30000305,61,75.11333517,250,48.82105204,74.40000153
