time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-31 15-44-00,71.59999847,76.73333333,65.91333466,280.3333333,40.73684311,71.70000458
2021-07-31 16-14-00,71.59999847,78.0,66.41333517,297.4666667,38.92631709,71.5
2021-07-31 17-59-00,72.59999847,75.93333333,70.32666728,327.1333333,77.67719371,74.30000305
2021-07-31 18-29-00,74.20000458,74.13333333,74.77333476,348.6666667,52.3578954,73.09999847
2021-07-31 18-59-00,72.40000153,72.86666667,67.6066686,310.0666667,42.70175451,73.59999847
2021-07-31 19-44-00,72.90000153,71.0,70.25333557,296.5333333,59.48070196,72.0
2021-07-31 20-14-00,71.70000458,70.0,66.0600001,284.8,41.57894897,71.59999847
2021-07-31 20-29-00,71.59999847,69.13333333,65.90666809,284.1333333,41.57894897,71.40000153
2021-07-31 20-59-00,71.40000153,68.13333333,68.1866684,306.6,55.66315765,71.20000458
2021-07-31 21-14-00,71.20000458,68.0,66.30000051,295.5333333,37.15789439,70.90000153
2021-07-31 21-59-00,71.20000458,66.06666667,68.06666769,296.3333333,49.99999924,75.40000153
2021-07-31 23-14-00,71.40000153,65.0,65.56666819,318.6666667,45.45263087,71.0
2021-08-01 00-29-00,72.5,64.0,71.47333425,330.7333333,74.28070145,73.70000458
2021-08-01 00-59-00,73.90000153,64.0,75.78000081,334.2666667,48.09122772,73.0
2021-08-01 01-44-00,73.09999847,63.0,72.97333578,315.7333333,79.88070221,73.80000305
2021-08-01 02-14-00,72.90000153,62.13333333,71.59333496,292.9333333,50.75789439,73.40000153
2021-08-01 02-44-00,73.90000153,62.0,74.82666778,298.8666667,54.12631531,74.30000305
2021-08-01 03-29-00,72.90000153,61.0,71.96000061,285.3333333,89.12280706,75.20000458
2021-08-01 04-44-00,74.40000153,60.0,74.62000173,327.0666667,59.08771947,74.09999847
2021-08-01 05-14-00,72.5,60.0,69.25333557,345.7333333,62.06315765,71.59999847
2021-08-01 05-29-00,71.59999847,59.86666667,65.86666794,294.5333333,46.25263163,74.30000305
2021-08-01 06-14-00,72.59999847,59.0,71.35333404,307.0666667,84.28771922,73.5
2021-08-01 06-44-00,71.5,58.93333333,67.71333465,310.2,37.98596547,70.90000153
2021-08-01 08-14-00,70.5,64.53333333,65.7666687,306.1333333,42.87017593,70.5
2021-08-01 08-29-00,70.5,66.06666667,66.14000193,283.4,37.07368469,71.09999847
2021-08-01 08-59-00,71.09999847,68.53333333,68.56000112,322.9333333,75.63508758,70.80000305
2021-08-01 09-14-00,70.80000305,69.8,66.3066686,286.2,37.74736862,70.70000458
2021-08-01 09-29-00,70.70000458,70.86666667,65.77333527,287.6,38.75789516,71.30000305
2021-08-01 09-59-00,71.30000305,72.73333333,68.01333567,338.6,58.80701752,73.0
2021-08-01 10-29-00,72.90000153,74.0,73.15333506,297.2666667,43.31228027,72.0
2021-08-01 10-44-00,72.0,74.06666667,69.84666697,304.8666667,36.75087636,71.5
2021-08-01 10-59-00,71.5,74.0,66.60000153,288.9333333,35.15789413,71.70000458
2021-08-01 11-44-00,72.20000458,73.93333333,69.86666819,311.0666667,86.27368418,71.80000305
2021-08-01 11-59-00,71.80000305,75.46666667,68.78000234,336.4666667,78.07719294,74.09999847
2021-08-01 12-59-00,72.40000153,77.0,69.29333394,295.5333333,91.74736837,72.09999847
2021-08-01 13-14-00,72.09999847,76.86666667,66.7666687,311.6666667,43.41754328,71.80000305
2021-08-01 13-59-00,72.30000305,78.46666667,69.11333415,282.4,94.07719371,72.80000305
